Classification	Charity	No of direct beneficiaries	No of indirect beneficiaries	Annual cost	Cost per direct beneficiary	Cost per indirect beneficiary	Comments	Source	Where did I hear about the charity				
Mental health	Mind	not clear			#VALUE!								
Cancer	Breakthrough breast cancer	n/a		£20,686,000	#VALUE!			http://apps.charitycommission.gov.uk/Accounts/Ends36/0001062636_AC_20140731_E_C.pdf					
Children	NSPCC	?? no total		£125,300,000	#VALUE!			http://www.nspcc.org.uk/globalassets/documents/annual-reports/nspcc-annual-report-2014.pdf					
Homelessness	Crisis	?? Lots of numbers by intervention, no total			#VALUE!								
Unclassified	Christian Aid	??	??	£100,500,000	??	??		http://www.christianaid.org.uk/Images/2013-14-christian-aid-annual-report.pdf					
Unclassified	Cafod	??	??	£51,459,000	??	??		2013-14 annual report	http://www.cafod.org.uk/News/Press-Centre/Open-information-resources/Annual-reviews				
Unclassified	British Heart Foundation	??	??	£136,900,000	#VALUE!			https://www.bhf.org.uk/~/media/files/publications/about-the-bhf/bhf_annualreportaccount2014.pdf					
Unclassified	St John Ambulance	??	??	£88,600,000	#VALUE!			https://www.sja.org.uk/sja/pdf/St-John-Report-2013.pdf	Mostly indirect				
Unclassified	Salvation Army	??			#VALUE!								
Mental health	Rethink	??			#VALUE!								
Mental health	Depression Alliance	??		£648,880	#VALUE!			http://apps.charitycommission.gov.uk/Accounts/Ends41/0001096741_AC_20140331_E_C.pdf					
Children	BBC Children in Need	??			#VALUE!			http://www.bbc.co.uk/tv/isite_assets/pudsey/aboutus/annual_report_13.pdf					
International Aid	World Vision	120,000,000		£1,781,000,000	£14.84			http://www.wvi.org/international/publication/world-vision-international-annual-review-2012	Query sent to World Vision on 31-may-2015 asking about whether these are on a like for like basis (should be in my hotmail sent box)				
International Aid	Care	97,039,494		£417,448,080	£4.30			http://www.care-international.org/UploadDocument/files/CARE_AR_2013_online_lowres_with%20map.pdf	The report refers to "participants" and not beneficiaries. I'm assuming that "participants" does mean beneficiaries, but this should probably be checked				
Children	Save the Children	15,400,000	58,500,000	£308,900,000	£20.06	£ 5.28		http://www.savethechildren.org.uk/sites/default/files/images/Annual_report_2013.pdf					
International Aid	Oxfam	11,000,000		£268,900,000	£24.45			http://www.oxfamannualreport.org.uk/wp-content/uploads/2014/07/ARA_web.pdf					
Unclassified	Tearfund	5,500,000		£59,400,000	£10.80								
Mental health	Samaritans	5,000,000		£20,000,000	£4.00		Strictly this is the cost per intervention, not cost per beneficiary (i.e. cost per contact/call with Samaritans, but it could be that the same person calls several times, so the cost per beneficiary is lower)						
Unclassified	Islamic Relief	3,700,000		£74,000,000	£20.00			2013 report	http://www.islamic-relief.org/annual-reports/	Ratio is an upper bound (no of beneficiaries could exceed 3.7m, see comments)			
Unclassified	Age International	1,500,000		£11,976,000	£7.98			https://www.ageinternational.org.uk/Documents/Age_International_Annual_Report_2013_2014.pdf	Understated. The cost is just for the UK part, but the total number of beneficiaries refers to the whole group				
